[2026-08-20 15:05:14,670] [INFO]    GDS input file passed, running in LVS mode
[2026-08-20 15:05:30,918] [SUBPROCESS]    C54;B[2];B[3];0.143;
[2026-08-20 15:05:30,919] [SUBPROCESS]    C55;B[2];DAC_REF;0.004;
[2026-08-20 15:05:30,919] [SUBPROCESS]    C56;B[2];I_DAC;0.464;
[2026-08-20 15:05:30,920] [SUBPROCESS]    C57;B[2];VDD;0.132;
[2026-08-20 15:05:30,921] [SUBPROCESS]    C58;B[2];VSUBS;0.892;
[2026-08-20 15:05:30,921] [SUBPROCESS]    C59;B[3];B[4];0.144;
[2026-08-20 15:05:30,922] [SUBPROCESS]    C60;B[3];DAC_REF;0.009;
[2026-08-20 15:05:30,922] [SUBPROCESS]    C61;B[3];I_DAC;0.929;
[2026-08-20 15:05:30,922] [SUBPROCESS]    C62;B[3];VDD;0.238;
[2026-08-20 15:05:30,923] [SUBPROCESS]    C63;B[3];VSUBS;1.797;
[2026-08-20 15:05:30,923] [SUBPROCESS]    C64;B[4];DAC_REF;0.015;
[2026-08-20 15:05:30,924] [SUBPROCESS]    C65;B[4];I_DAC;1.823;
[2026-08-20 15:05:30,924] [SUBPROCESS]    C66;B[4];VDD;0.714;
[2026-08-20 15:05:30,925] [SUBPROCESS]    C67;B[4];VSUBS;3.599;
[2026-08-20 15:05:30,925] [SUBPROCESS]    C68;DAC_REF;I_DAC;0.025;
[2026-08-20 15:05:30,926] [SUBPROCESS]    C69;DAC_REF;VDD;47.036;
[2026-08-20 15:05:30,926] [SUBPROCESS]    C70;DAC_REF;VSUBS;181.311;
[2026-08-20 15:05:30,927] [SUBPROCESS]    C71;I_DAC;VDD;1.424;
[2026-08-20 15:05:30,927] [SUBPROCESS]    C72;I_DAC;VSUBS;2.921;
[2026-08-20 15:05:30,928] [SUBPROCESS]    C73;VDD;VSUBS;38.545;
[2026-08-20 15:05:30,928] [SUBPROCESS]    R1;$10.$0.15;$10.$1.18;;585.0
[2026-08-20 15:05:30,929] [SUBPROCESS]    R2;$10.$0.15;$10.$4.15;;0.0
[2026-08-20 15:05:30,929] [SUBPROCESS]    R3;$10.$1.18;$10.$160.18;;0.0
[2026-08-20 15:05:30,930] [SUBPROCESS]    R4;$10.$1.18;$10.$164.18;;27.106
[2026-08-20 15:05:30,930] [SUBPROCESS]    R5;$10.$10.15;$10.$11.18;;585.0
[2026-08-20 15:05:30,931] [SUBPROCESS]    R6;$10.$10.15;$10.$14.15;;0.0
[2026-08-20 15:05:30,931] [SUBPROCESS]    R7;$10.$10.15;$10.$6.15;;0.0
[2026-08-20 15:05:30,932] [SUBPROCESS]    R8;$10.$100.15;$10.$101.18;;585.0
[2026-08-20 15:05:30,932] [SUBPROCESS]    R9;$10.$100.15;$10.$88.15;;0.0
[2026-08-20 15:05:30,933] [SUBPROCESS]    R10;$10.$100.15;$10.P5.15;;0.0
[2026-08-20 15:05:30,933] [SUBPROCESS]    R11;$10.$101.18;$10.$260.18;;0.0
[2026-08-20 15:05:30,934] [SUBPROCESS]    R12;$10.$101.18;$10.$264.18;;27.106
[2026-08-20 15:05:30,934] [SUBPROCESS]    R13;$10.$102.15;$10.$103.18;;585.0
[2026-08-20 15:05:30,935] [SUBPROCESS]    R14;$10.$102.15;$10.$90.15;;0.0
[2026-08-20 15:05:30,935] [SUBPROCESS]    R15;$10.$102.15;$10.P1.15;;0.0
[2026-08-20 15:05:30,936] [SUBPROCESS]    R16;$10.$103.18;$10.$262.18;;0.0
[2026-08-20 15:05:30,936] [SUBPROCESS]    R17;$10.$103.18;$10.$266.18;;27.106
[2026-08-20 15:05:30,937] [SUBPROCESS]    R18;$10.$104.15;$10.$105.18;;585.0
[2026-08-20 15:05:30,937] [SUBPROCESS]    R19;$10.$104.15;$10.$108.15;;0.0
[2026-08-20 15:05:30,938] [SUBPROCESS]    R20;$10.$104.15;$10.P5.15;;0.0
[2026-08-20 15:05:30,938] [SUBPROCESS]    R21;$10.$105.18;$10.$264.18;;0.0
[2026-08-20 15:05:30,939] [SUBPROCESS]    R22;$10.$105.18;$10.$268.18;;27.106
[2026-08-20 15:05:30,939] [SUBPROCESS]    R23;$10.$106.15;$10.$107.18;;585.0
[2026-08-20 15:05:30,940] [SUBPROCESS]    R24;$10.$106.15;$10.$110.15;;0.0
[2026-08-20 15:05:30,940] [SUBPROCESS]    R25;$10.$106.15;$10.P1.15;;0.0
[2026-08-20 15:05:30,940] [SUBPROCESS]    R26;$10.$107.18;$10.$266.18;;0.0
[2026-08-20 15:05:30,941] [SUBPROCESS]    R27;$10.$107.18;$10.$270.18;;27.106
[2026-08-20 15:05:30,941] [SUBPROCESS]    R28;$10.$108.15;$10.$109.18;;585.0
[2026-08-20 15:05:30,942] [SUBPROCESS]    R29;$10.$108.15;$10.$112.15;;0.0
[2026-08-20 15:05:30,942] [SUBPROCESS]    R30;$10.$109.18;$10.$268.18;;0.0
[2026-08-20 15:05:30,943] [SUBPROCESS]    R31;$10.$109.18;$10.$272.18;;27.106
[2026-08-20 15:05:30,943] [SUBPROCESS]    R32;$10.$11.18;$10.$170.18;;0.0
[2026-08-20 15:05:30,944] [SUBPROCESS]    R33;$10.$11.18;$10.$174.18;;27.106
[2026-08-20 15:05:30,944] [SUBPROCESS]    R34;$10.$110.15;$10.$111.18;;585.0
[2026-08-20 15:05:30,945] [SUBPROCESS]    R35;$10.$110.15;$10.$114.15;;0.0
[2026-08-20 15:05:30,945] [SUBPROCESS]    R36;$10.$111.18;$10.$270.18;;0.0
[2026-08-20 15:05:30,946] [SUBPROCESS]    R37;$10.$111.18;$10.$274.18;;27.106
